Date,Price,Open,High,Low,Vol.,Change %
3/26/2025,"3,019.29","3,020.13","3,032.23","3,012.38",,-0.02%
3/25/2025,"3,019.85","3,012.40","3,035.94","3,007.53",,0.25%
3/24/2025,"3,012.27","3,023.03","3,033.44","3,002.34",,-0.38%
3/21/2025,"3,023.63","3,042.60","3,047.66","2,999.46",,-0.68%
3/20/2025,"3,044.41","3,046.31","3,057.51","3,025.56",,-0.09%
3/19/2025,"3,047.18","3,032.20","3,052.30","3,022.73",,0.44%
3/18/2025,"3,033.95","2,999.11","3,038.45","2,999.11",,1.08%
3/17/2025,"3,001.47","2,985.80","3,002.23","2,982.13",,0.57%
3/14/2025,"2,984.42","2,988.38","3,005.08","2,978.41",,-0.11%
3/13/2025,"2,987.75","2,932.66","2,989.64","2,932.03",,1.90%
3/12/2025,"2,932.06","2,916.85","2,940.83","2,906.19",,0.55%
3/11/2025,"2,916.04","2,888.72","2,922.22","2,880.34",,0.92%
3/10/2025,"2,889.40","2,912.17","2,918.50","2,880.30",,-0.73%
3/7/2025,"2,910.79","2,910.48","2,930.56","2,896.71",,0.03%
3/6/2025,"2,909.99","2,918.98","2,926.88","2,891.34",,-0.30%
3/5/2025,"2,918.84","2,917.59","2,929.94","2,894.19",,0.05%
3/4/2025,"2,917.49","2,894.05","2,928.15","2,881.81",,0.82%
3/3/2025,"2,893.71","2,856.71","2,895.45","2,855.63",,1.23%
2/28/2025,"2,858.60","2,877.66","2,885.34","2,832.63",,-0.61%
2/27/2025,"2,876.19","2,916.80","2,920.96","2,867.86",,-1.37%
2/26/2025,"2,916.19","2,915.42","2,930.22","2,890.99",,0.04%
2/25/2025,"2,915.12","2,951.82","2,954.44","2,888.06",,-1.22%
2/24/2025,"2,951.19","2,936.41","2,956.37","2,920.77",,0.52%
2/21/2025,"2,936.03","2,939.00","2,950.01","2,916.70",,-0.09%
2/20/2025,"2,938.70","2,932.81","2,954.97","2,924.20",,0.21%
2/19/2025,"2,932.64","2,935.73","2,947.23","2,918.50",,-0.10%
2/18/2025,"2,935.58","2,897.51","2,937.46","2,891.94",,1.31%
2/17/2025,"2,897.66","2,883.55","2,906.69","2,887.20",,0.50%
2/14/2025,"2,883.18","2,929.19","2,940.23","2,876.96",,-1.57%
2/13/2025,"2,929.03","2,904.10","2,929.74","2,900.20",,0.87%
2/12/2025,"2,903.66","2,898.90","2,909.16","2,864.01",,0.18%
2/11/2025,"2,898.34","2,907.47","2,943.25","2,881.76",,-0.31%
2/10/2025,"2,907.34","2,864.08","2,911.60","2,854.69",,1.64%
2/7/2025,"2,860.39","2,856.60","2,886.96","2,852.55",,0.14%
2/6/2025,"2,856.50","2,865.26","2,873.74","2,834.40",,-0.30%
2/5/2025,"2,865.09","2,842.06","2,882.53","2,839.32",,0.81%
2/4/2025,"2,841.94","2,814.80","2,845.57","2,806.90",,1.01%
2/3/2025,"2,813.49","2,801.40","2,831.70","2,771.69",,0.45%
1/31/2025,"2,801.00","2,794.04","2,817.57","2,790.78",,0.25%
1/30/2025,"2,793.88","2,757.90","2,798.80","2,757.24",,1.31%
1/29/2025,"2,757.71","2,763.48","2,766.53","2,744.71",,-0.20%
1/28/2025,"2,763.11","2,742.57","2,765.18","2,734.68",,0.80%
1/27/2025,"2,741.10","2,770.70","2,773.02","2,729.80",,-1.09%
